Movie,Genre,Runtime,Rating,Votes,Year,Synopsis,Actors,Certificate,Image
Kurulus: Osman,"Action, Adventure, Drama",120 min,7.6,"11,199",2019–,"The series will focus on the life of Osman Bey, the son of Ertugrul Gazi and the founder of the Ottoman Empire.","Burak Özçivit, Özge Törer, Yigit Ucan, Cagri Sensoy",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Adventures of Superman,"Action, Adventure, Crime",30 min,7.7,"4,293",1952–1958,"The Man of Steel fights crime with help from his friends at the ""Daily Planet.""","George Reeves, Noel Neill, Jack Larson, John Hamilton",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Scarecrow and Mrs. King,"Adventure, Comedy, Romance",60 min,7,"3,629",1983–1987,"The adventures of a housewife and a spy, with whom she fell in love.","Kate Jackson, Bruce Boxleitner, Beverly Garland, Mel Stewart",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Outpost,"Action, Adventure, Drama",44 min,6.5,"8,821",2018–2021,"Talon, the lone survivor of the Blackbloods, sets off to track her family's killers, and discovers her supernatural powers, which she must learn to harness.","Jessica Green, Jake Stormoen, Anand Desai-Barochia, Adam Johnson",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Amphibia,"Animation, Action, Adventure",23 min,8.3,"8,196",2019–2022,"Ordinary Anne Boonchuy, 13, finds a music box that sends her to Amphibia, a world full of frogs, toads, and giant insects. With help from Sprig, she must adjust to life in Amphibia and discover the first true friendship in her life.","Brenda Song, Justin Felbinger, Bill Farmer, Amanda Leighton",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rurouni Kenshin: Meiji Kenkaku Romantan,"Animation, Action, Adventure",24 min,8.3,638,2023–,"During the violent era known as the Bakumatsu, there was an Ishin assassin known only as the Hitokiri Battousai, whose skill and brutality became near legendary in the age of Restoration he...                See full summary »","Rie Takahashi, Sôma Saitô, Makoto Koichi, Taku Yashiro",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spawn,"Animation, Action, Adventure",30 min,8.1,"9,636",1997–1999,"After being betrayed and murdered by his employer, a government trained assassin is resurrected as a Hellspawn, then being forced to act as the reluctant leader of Hell's army.","Keith David, Richard Dysart, Dominique Jennings, Todd McFarlane",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Batman,"Animation, Action, Adventure",22 min,7.3,"12,984",2004–2008,Billionaire Bruce Wayne fights crime and evil as the mysterious Batman.,"Rino Romano, Alastair Duncan, Evan Sabara, Danielle Judovits",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Tensei Shitara Suraimu Datta Ken,"Animation, Action, Adventure",25 min,8.1,"13,536",2018–,Average 37-year-old Minami Satoru dies and is reincarnated as the most unremarkable creature imaginable-a slime.,"Miho Okasaki, Megumi Toyoguchi, Brittney Karbowski, Mallorie Rodak",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jupiter's Legacy,"Action, Adventure, Drama",56 min,6.7,"40,380",2021,"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty.","Josh Duhamel, Ben Daniels, Leslie Bibb, Andrew Horton",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Baa Baa Black Sheep,"Action, Adventure, Drama",60 min,7.6,"3,250",1976–1978,"The dramatized World War II adventures of U.S. Major Gregory ""Pappy"" Boyington and his U.S. Marine Attack Squadron 214, (The Black Sheep Squadron).","Robert Conrad, Simon Oakland, Dana Elcar, Dirk Blocker",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Knight,"Action, Adventure, Sci-Fi",45 min,6.4,"6,534",2023–,"A legendary delivery driver ""5-8"" with exceptional battle skills And a refugee ""Sawol"" who dreams of following in his footsteps.","Kim Woo-bin, Song Seung-heon, Kang You-Seok, Esom",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rugrats,"Animation, Adventure, Comedy",30 min,7.4,"37,418",1991–2006,The cartoon misadventures of four babies and their snotty older cousin as they face the things in life they don't understand.,"Elizabeth Daily, Christine Cavanaugh, Nancy Cartwright, Kath Soucie",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Protector,"Action, Adventure, Drama",40 min,6.5,"36,139",2018–2020,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.","Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Burçin Terzioglu",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Bastard Son & the Devil Himself,"Action, Adventure, Drama",60 min,7.5,"13,195",2022,"Caught between two warring clans, the son of a notorious witch responsible for a deadly massacre tries to find his place in the world — and his powers.","Jay Lycurgo, Nadia Parkes, Paul Ready, Isobel Jesper Jones",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Batman Beyond,"Animation, Action, Adventure",23 min,8.1,"29,573",1999–2001,"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham.","Will Friedle, Kevin Conroy, Lauren Tom, Cree Summer",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lost Symbol,"Action, Adventure, Drama",45 min,6.4,"13,008",2021,"Based on the 2009 Dan Brown novel of the same name, The Lost Symbol is the story of a young Robert Langdon (Ashley Zukerman) being tasked by the CIA to solve a number of puzzles when his mentor (Eddie Izzard) is taken.","Ashley Zukerman, Eddie Izzard, Valorie Curry, Beau Knapp",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: Resistance,"Animation, Action, Adventure",30 min,5.3,"7,140",2018–2020,"Kazuda Xiono, a young pilot for the Resistance, is tasked with a top secret mission to investigate the First Order, a growing threat in the galaxy.","Christopher Sean, Scott Lawrence, Josh Brener, Suzie McGrath",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Final Space,"Animation, Action, Adventure",30 min,8.2,"47,037",2018–2021,An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.,"Fred Armisen, Tom Kenny, Olan Rogers, Tika Sumpter",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kim Possible,"Animation, Action, Adventure",22 min,7.2,"30,931",2002–2007,A high school cheerleader and her clumsy best friend balance their duties as global crime-fighters with the typical challenges of adolescence.,"Christy Carlson Romano, Will Friedle, Nancy Cartwright, Tahj Mowry",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Mosquito Coast,"Adventure, Drama, Thriller",60 min,6.8,"15,091",2021–2023,"Follows the dangerous journey of a radical idealist and brilliant inventor, Allie Fox, who uproots his family for Mexico when they suddenly find themselves on the run from the US government.","Justin Theroux, Melissa George, Logan Polish, Gabriel Bateman",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hercules: The Legendary Journeys,"Action, Adventure, Drama",44 min,6.5,"31,145",1995–1999,"Hercules, aided by his best friend Iolaus, goes on many adventures helping people and slaying mythical monsters using his half-god strength.","Kevin Sorbo, Michael Hurst, Kevin Smith, Robert Trebor",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sonic Prime,"Animation, Action, Adventure",22 min,7.3,"2,128",2022–,Sonic in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands.,"Deven Christian Mack, Ashleigh Ball, Vincent Tong, Kazumi Evans",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Midnight Gospel,"Animation, Adventure, Comedy",23 min,8.2,"23,466",2020,"Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds.","Phil Hendrie, Duncan Trussell, Joey Diaz, Doug Lussenhop",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Secrets of Sulphur Springs,"Adventure, Drama, Family",24 min,7.6,"3,798",2021–,"Griffin moves to a seemingly haunted town named Sulphur Springs with his family. He meets Harper, a girl from school, and they unlock a time-traveling portal and encounter a lurking ghost.","Preston Oliver, Kyliegh Curran, Elle Graham, Madeleine McGraw",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
V,"Action, Adventure, Sci-Fi",197 min,7.8,"16,691",1983,"When aliens come to Earth to ask for our help, a few suspicious humans discover their horrific true intentions and prepare to resist.","Jane Badler, Michael Durrell, Faye Grant, Peter Nelson",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Prodigy,"Animation, Action, Adventure",24 min,7.4,"4,661",2021–2022,A group of enslaved teenagers steal a derelict Starfleet vessel to escape and explore the galaxy.,"Rylee Alazraqui, Dee Bradley Baker, Brett Gray, Angus Imrie",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kung Fu Panda: The Dragon Knight,"Animation, Action, Adventure",,6,"2,237",2022–2023,"Follow Po, who partners up with a no-nonsense English knight named Wandering Blade, to find a collection of four powerful weapons before a mysterious pair of weasels do, and save the world from destruction.","Jack Black, Rita Ora, James Hong, Della Saba",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Get Smart,"Action, Adventure, Comedy",25 min,8.2,"13,398",1965–1970,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, battles the evil forces of rival spy agency KAOS with the help of his competent partner Agent 99.","Don Adams, Barbara Feldon, Edward Platt, Robert Karvelas",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hart to Hart,"Action, Adventure, Crime",60 min,6.7,"8,475",1979–1984,The globe-trotting adventures of amateur detectives Jonathan and Jennifer Hart.,"Robert Wagner, Stefanie Powers, Lionel Stander, Lee Wilkof",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mashle: Magic and Muscles,"Animation, Action, Adventure",23 min,7.5,"3,445",2023–,"Into a world of magicians is born Mash, a young boy who lacks magic but is the strongest person around. His existence and destiny will change his world.","Chiaki Kobayashi, Reina Ueda, Katsuyuki Konishi, Chô",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Relic Hunter,"Action, Adventure, Fantasy",60 min,6.4,"7,455",1999–2002,"Sydney Fox is a university professor and black belt who globe-trots after lost, stolen and rumored to exist artifacts and antiquities.","Tia Carrere, Christien Anholt, Lindy Booth, Tanja Reichert",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Panic,"Adventure, Crime, Drama",,6.6,"9,193",2021,"No one knows who invented Panic or when it first began. But in the forgotten rural town of Carp, Texas, the game is the only way out. Every summer the graduating seniors risk their lives competing in a series of challenges that force them to confront their deepest fears for the chance to win life-changing money. Anyone can play. Only one will win. Let the games begin.","Olivia Scott Welch, Mike Faist, Jessica Sula, Ray Nicholson",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Ghost and Molly McGee,"Animation, Short, Adventure",22 min,7.6,"1,591",2021–,"A grumpy ghost named Scratch is eternally cursed to be in the presence of polar opposite Molly McGee, a cheerful tween.","Ashly Burch, Dana Snyder, Michaela Dietz, Jordan Klepper",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Primeval,"Action, Adventure, Drama",60 min,7.2,"15,128",2007–2011,"When strange anomalies start to appear all over England, Professor Cutter and his team must track down and capture all sorts of dangerous prehistoric creatures from Earth's distant past and near future.","Andrew Lee Potts, Hannah Spearritt, Ben Miller, Juliet Aubrey",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
