Movie,Genre,Runtime,Rating,Votes,Year,Synopsis,Actors,Certificate,Image
Star vs. the Forces of Evil,"Animation, Action, Adventure",22 min,7.9,"17,500",2015–2019,"Star Butterfly arrives on Earth to live with the Diazes, a Mexican-American family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her.","Eden Sher, Adam McArthur, Grey Griffin, Daron Nefcy",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Into the West,"Adventure, Drama, Romance",552 min,8,"7,387",2005,"Tales from the American West in the 19th century, told from the perspective of two families, one of white settlers and one of Native Americans.","Joseph M. Marshall, Irene Bedard, Gil Birmingham, John Terry",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Passage,"Action, Adventure, Drama",60 min,7.3,"12,294",2019,"When a botched U.S. government experiment turns a group of death row inmates into highly infectious vampires, an orphan girl might be the only person able to stop the ensuing crisis.","Mark-Paul Gosselaar, Saniyya Sidney, Jamie McShane, Caroline Chikezie",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Blood Drive,"Action, Adventure, Comedy",60 min,7.2,"6,628",2017,"In a dystopian alternate 1999, a former cop is forced to take part in a death race in which cars run on human blood as fuel.","Alan Ritchson, Christina Ochoa, Thomas Dominique, Marama Corlett",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Galavant,"Adventure, Comedy, Fantasy",22 min,8.1,"16,265",2015–2016,A musical comedy adventure featuring a knight on a quest for love who helps a childish king to see the error of his ways.,"Joshua Sasse, Timothy Omundson, Vinnie Jones, Mallory Jansen",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Arthur,"Animation, Adventure, Comedy",30 min,7.4,"15,351",1996–2022,"Based on the books by Marc Brown, these are the adventures of Arthur, an 8-year-old aardvark, and his family and friends as they grow up and learn how to be good neighbors to one another.","J.T. Turner, Daniel Brochu, Bruce Dinsmore, Melissa Altro",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Young Indiana Jones Chronicles,"Action, Adventure, Family",45 min,7.2,"8,451",1992–1993,The adventures of the archaeological treasure hunter in his youth as related by an elderly Indiana Jones.,"Sean Patrick Flanery, George Hall, Corey Carrier, Ronny Coutteure",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Entrevías,"Action, Adventure, Crime",79 min,6.9,"4,154",2021–,"When his teenage granddaughter falls victim to the drug dealers overtaking his neighborhood, a fed-up war veteran takes matters into his own hands.","Jose Coronado, Nona Sobo, Felipe Londoño, Laura Ramos",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Overlord,"Animation, Action, Adventure",30 min,7.7,"12,565",2015–,"An office worker in a dystopian world logs onto a video game for the last time only to find out that he, along with his entire guild, has been transported to another reality.","Satoshi Hino, Chris Guerrero, Yumi Hara, Masayuki Katô",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shûmatsu no Valkyrie,"Animation, Action, Adventure",24 min,6.4,"8,108",2021–,"Every 1000 years, the Gods' Council assemble to decide the fate of humanity. After 7 million years of human history, the gods come to the decision that humans are irredeemable and must be extinct.","Kellen Goff, Tomoyo Kurosawa, Miyuki Sawashiro, Daisuke Namikawa",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Blood of Zeus,"Animation, Action, Adventure",30 min,7.5,"20,184",2020–,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.","Derek Phillips, Jason O'Mara, Jessica Henwick, Claudia Christian",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Wonderful World of Disney,"Adventure, Comedy, Drama",120 min,7.4,983,1997–2023,Experience the magic and adventure from Walt Disney world of color.,"David Sparrow, Will Friedle, Joe Dinicol, Laurie Murdoch",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Agatha: Coven of Chaos,"Action, Adventure, Comedy",,,No votes yet,2023–,Plot kept under wraps.,"Kathryn Hahn, Patti LuPone, Miles Gutierrez-Riley, Aubrey Plaza",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Keep Breathing,"Adventure, Drama, Thriller",209 min,5.3,"14,110",2022,"When a small plane crashes in the middle of the Canadian wilderness, a lone woman must battle the elements and odds to survive.","Melissa Barrera, Jeff Wilbusch, Florencia Lozano, Juan Pablo Espinosa",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Atlantis,"Adventure, Drama, Fantasy",45 min,6.5,"12,064",2013–2015,"Far from home, Jason washes up on the shores of the ancient and mysterious city of Atlantis.","Mark Addy, Jack Donnelly, Robert Emms, Aiysha Hart",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Tiny Toons Looniversity,"Animation, Adventure, Comedy",,6.5,220,2023–,"Reboot of ""Tiny Toon Adventures"" centering on the characters' antics at Acme Looniversity.","Eric Bauza, Ashleigh Crystal Hairston, David Errigo Jr., Tessa Netting",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
We Bare Bears,"Animation, Adventure, Comedy",30 min,7.9,"17,986",2014–2019,Three bear brothers do whatever they can to be a part of human society by doing what everyone around them does.,"Eric Edelstein, Demetri Martin, Bobby Moynihan, Keith Ferguson",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Gabby's Dollhouse,"Animation, Adventure, Comedy",24 min,7.3,652,2021–,This colorful series leads preschoolers room to room through a fantastical dollhouse of delightful mini-worlds and irresistible kitty characters.,"Tucker Chandler, Laila Lockhart Kraner, Juliet Donenfeld, Donovan Patton",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Yu-Gi-Oh!,"Animation, Action, Adventure",24 min,7.3,"22,662",I) (2000–2006,"Yugi Moto solves an Ancient Egyptian Puzzle and brings forth a dark and powerful alter ego. Whenever he and his friends are threatened by evil in Duel Monster Card Game, this alter ego breaks out to save them.","Dan Green, Argiris Pavlidis, Wayne Grayson, Amy Birnbaum",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Limitless,"Documentary, Adventure",50 min,8,"3,743",2022,"A different way we can live better for longer: regenerating damage, maximizing strength, building resilience, shocking the body, supercharging memory and confronting mortality.","Chris Hemsworth, Peter Attia, Elsa Pataky, Luke Zocchi",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Expedition Bigfoot,Adventure,,6,927,2019–,"Harrowing experience and pioneering endeavor in an undisclosed, remote location in a 90,000-acre swath of land in central Oregon.","Erik Thompson, Mireya Mayor, Bryce Johnson, Russell Acord",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Masters of the Universe: Revelation,"Animation, Action, Adventure",25 min,5.5,"27,753",2021,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Sarah Michelle Gellar, Lena Headey, Mark Hamill, Tiffany Smith",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Birds of Prey,"Action, Adventure, Drama",60 min,6.4,"5,437",2002–2003,"In the future, long after the Batman has driven himself into exile, his legacy lives on in the form of the Birds of Prey--Black Canary, Oracle, and the Huntress.","Ashley Scott, Dina Meyer, Rachel Skarsten, Shemar Moore",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Toy Boy,"Action, Adventure, Crime",,6.5,"8,247",2019–,A stripper sets out to prove his innocence for a crime he didn't commit and was unjustly incarcerated for seven years earlier.,"Jesús Mosquera, Cristina Castaño, María Pedraza, Jose De la Torre",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mao Gakuin no Futekigosha,"Animation, Adventure, Comedy",23 min,7.3,"4,606",2020–2023,A demon mage reincarnates into the body of his descendant hoping to find an era where he can have some peace and quiet. He ends up going to a school run by his significantly weaker descendants.,"Aleks Le, Kayli Mills, Brianna Knickerbocker, Griffin Puatu",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Lexx,"Action, Adventure, Comedy",90 min,7.3,"8,392",1996–,A group of disparate fugitives from an interplanetary tyranny find themselves in control of a massively powerful starship.,"Brian Downey, Michael McManus, Jeffrey Hirschfield, Xenia Seeberg",R,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hey Dude,"Adventure, Comedy, Family",30 min,7.2,"3,348",1989–1991,A group of friends work together with their boss at a dude ranch and go through many fun moments and mishaps along the way.,"David Brisbin, Kelly Brown, Debi Kalman, Christine Taylor",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Knight Rider,"Adventure, Mystery, Thriller",60 min,5.6,"9,841",2008–2009,"A former Army Ranger, an FBI agent and a young woman search for the culprits who want the crime-fighting car KITT.","Justin Bruening, Deanna Russo, Paul Campbell, Smith Cho",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sofia the First,"Animation, Adventure, Family",22 min,6.9,"3,493",2012–2018,Sofia is a little girl with a commoner's background until her mom marries the king and suddenly she is royalty.,"Ariel Winter, LC Powell, Darcy Rose Byrnes, Travis Willingham",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ninjago,"Animation, Action, Adventure",11 min,8.1,"1,895",2019–2022,"While fighting foes across Ninjago City and beyond, the ninja embark on new quests and gain newfound allies as the power of their friendship is tested.","Sam Vincent, Michael Adamthwaite, Kelly Metzger, Vincent Tong",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ultimate Spider-Man,"Animation, Action, Adventure",23 min,7.2,"13,650",2012–2017,Spider-Man battles evil with a new team of teen colleagues and training from S.H.I.E.L.D.,"Drake Bell, Ogie Banks, Chi McBride, Logan Miller",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Superman: The Animated Series,"Animation, Action, Adventure",30 min,8.1,"17,054",1996–2000,The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes.,"Tim Daly, Joseph Bologna, Dana Delany, David Kaufman",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bishôjo senshi Sêrâ Mûn,"Animation, Action, Adventure",30 min,7.7,"7,132",1992–1997,"A group of schoolgirls discover they are incarnations of super-powered alien princesses, and use their abilities to defend the earth.","Stephanie Sheh, Kotono Mitsuishi, Kate Higgins, Aya Hisakawa",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lost World,"Action, Adventure, Sci-Fi",60 min,7.1,"4,366",1999–2002,The adventures of a band of explorers stranded in a mysterious land inhabited by dinosaurs and other dangers.,"Peter McCauley, Rachel Blakely, Jennifer O'Dell, William Snow",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Samurai Chanpurû,"Animation, Action, Adventure",24 min,8.6,"53,114",2004–2005,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Kazuya Nakai, Ginpei Sato, Ayako Kawasumi, Steve Blum",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Wrecked,"Action, Adventure, Comedy",30 min,7.3,"7,844",2016–2018,"When a plane crashes on a deserted island on the way to Thailand, the crash survivors struggle to get along, and heads clash as they have differing views on how to stay alive and get off the island.","Zach Cregger, Asif Ali, Brian Sacca, Ally Maki",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Yu yu hakusho,"Animation, Action, Adventure",24 min,8.5,"14,860",1992–1995,"After a teenage delinquent is killed while saving a child's life from an approaching car, the rulers of the underworld send him back to become an ""Underworld Detective"" investigating demons apparitions in the human world.","Nozomu Sasaki, Justin Cook, Christopher Sabat, Cynthia Cranz",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Alarm für Cobra 11 - Die Autobahnpolizei,"Action, Adventure, Crime",90 min,6.3,"5,696",1996–,Two police inspectors and their team from a Bonn-Koeln precinct fight all sorts of criminals they encounter daily on major highways in Germany.,"Erdogan Atalay, Gottfried Vollmer, Niels Kurvin, Dietmar Huhn",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Guardians of Justice,"Animation, Action, Adventure",30 min,5.1,"5,399",2022–,"When their seemingly fearless leader self-destructs, a team of troubled superheroes must confront festering evil in the world - and in themselves.","Dallas Page, Sharni Vinson, Denise Richards, Zachery Ty Bryan",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Undead Unluck,"Animation, Action, Adventure",24 min,8.4,76,2023–,"Follows Fuuko Izumo, an unlucky girl who unintentionally kills people with her special ability Unluck, and she meets Andy, a man who wishes to die but can't, and in her he finds someone able to give him the death he's been longing for.","Kahara Moe, Yûichi Nakamura, Aoi Yûki, Natsuki Hanae",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Craig of the Creek,"Animation, Action, Adventure",30 min,7.5,"3,073",2018–2023,"Craig of the Creek follows a young boy, Craig, and his two friends, Kelsey and JP, as they go on adventures within a world of untamed, kid-dominated wilderness in the creek.","Philip Solomon, Michael Croner, Noël Wells, Ben Levin",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kono subarashii sekai ni shukufuku o!,"Animation, Adventure, Comedy",24 min,7.8,"13,574",2016–2023,It was a happy day for Kazuma - right up to the moment he died. A goddess intervenes and offers him a second chance in a magical land.,"Jun Fukushima, Sora Amamiya, Noucky Andriansyah, Rie Takahashi",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Greatest American Hero,"Adventure, Comedy, Sci-Fi",60 min,7.3,"6,357",1981–1983,A teacher is asked to be a superhero using a special alien suit with powers he can barely understand or control.,"William Katt, Connie Sellecca, Robert Culp, Michael Paré",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Odyssey,"Adventure, Drama, Fantasy",176 min,7,"15,723",1997,Follows Odysseus on his wanderings back to Ithaca following the Trojan War.,"Armand Assante, Greta Scacchi, Isabella Rossellini, Bernadette Peters",PG-13,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dirilis: Ertugrul,"Action, Adventure, Drama",120 min,7.9,"38,979",2014–2019,"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.","Engin Altan Düzyatan, Hülya Darcan, Cengiz Coskun, Nurettin Sönmez",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Deadliest Catch,"Documentary, Adventure, Reality-TV",55 min,7.8,"9,054",2005–,A documentary series chronicling the real-life high-sea adventures of the Alaskan crab fishermen. This is the most deadly profession in the world.,"Mike Rowe, Sig Hansen, Keith Colburn, Jake Anderson",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dragon Ball Kai: Doragon bôru kai,"Animation, Action, Adventure",24 min,8.3,"23,987",2009–2015,An enhanced and HD remaster of Dragon Ball Z.,"Masako Nozawa, Jôji Yanami, Sean Schemmel, Doc Morgan",15,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Suite Life on Deck,"Action, Adventure, Comedy",30 min,6.3,"20,734",2008–2011,"Spinoff of the hit Disney Channel series ""The Suite Life of Zack & Cody,"" in which twin brothers Zack and Cody Martin and hotel heiress London Tipton enroll in a semester-at-sea program aboard a ship called the S.S. Tipton.","Dylan Sprouse, Cole Sprouse, Brenda Song, Debby Ryan",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Wolf Creek,"Adventure, Drama, Horror",45 min,7.1,"5,504",2016–2017,An anthology series which centers on different characters being targeted by crazed serial killer Mick Taylor in the Australian outback.,"John Jarratt, Lucy Fry, Dustin Clare, Tess Haubrich",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
ARK: The Animated Series,"Animation, Action, Adventure",30 min,,No votes yet,2023–,Follow Survivor and protagonist Helena Walker after her initial awakening on The Island.,"Monica Bellucci, David Tennant, Zahn McClarnon, Karl Urban",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
October Faction,"Adventure, Drama, Fantasy",39 min,6.2,"12,028",2020,A semi-retired couple who work for a clandestine monster hunting agency discover dark family secrets and the truth about their employer after their magically inclined nigh adult kids reawaken a witch bent on revenge.,"Tamara Taylor, J.C. MacKenzie, Aurora Dawson-Hunte, Gabriel Darku",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Thunderbirds,"Animation, Action, Adventure",50 min,7.9,"4,939",1965–1966,"In the year 2026, the Tracy family run International Rescue - a top-secret organization whose ongoing mission is to rescue people trapped in extraordinarily dangerous situations using their advanced Thunderbirds machines.","Sylvia Anderson, Peter Dyneley, David Graham, Shane Rimmer",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Professionals,"Action, Adventure",48 min,5.5,"1,898",2020–,"After their advanced medical satellite explodes on deployment, billionaire futurist Peter Swann, and his fiancée, medical visionary Dr. Graciela ""Grace"" Davila, turn to a hardened former counterintelligence officer.","Tom Welling, Elena Anaya, Brendan Fraser, Ken Duken",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Early Edition,"Adventure, Comedy, Drama",41 min,7.6,"12,633",1996–2000,"His name is Gary Hobson. He gets tomorrow's newspaper today. He doesn't know how. He doesn't know why. All he knows is when the early edition hits his doorstep, he has twenty-four hours to set things right.","Kyle Chandler, Shanesia Davis, Fisher Stevens, Billie Worley",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Once Upon a Time in Wonderland,"Adventure, Drama, Fantasy",42 min,6.9,"12,756",2013–2014,"In Victorian England, the young and beautiful Alice tells a tale of a strange new land that exists on the other side of a rabbit hole.","Sophie Lowe, Michael Socha, Peter Gadiot, Emma Catherine Rigby",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Spectacular Spider-Man,"Animation, Action, Adventure",23 min,8.4,"18,370",2008–2009,"An animated television show that focuses on a sixteen-year-old Peter Parker, and the origins of Spider-Man.","Josh Keaton, Lacey Chabert, Joshua LeBar, Grey Griffin",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shogun,"Adventure, Drama, History",547 min,8.1,"13,311",1980,An English navigator becomes both a player and pawn in the complex political games in feudal Japan.,"Richard Chamberlain, Toshirô Mifune, Yôko Shimada, Furankî Sakai",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Krypton,"Action, Adventure, Drama",45 min,6.8,"17,386",2018–2019,The untold story of Superman's grandfather as he fights for justice on his home planet.,"Cameron Cuffe, Georgina Campbell, Shaun Sipos, Ann Ogbomo",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Expedition Unknown,"Adventure, Mystery, Reality-TV",60 min,8.2,"3,492",2015–,An archeologist travels around the world looking for unknown and missing artifacts from throughout time.,"Josh Gates, Evan B. Stone, Brian C. Weed, Jessica Chobot",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Space: Above and Beyond,"Action, Adventure, Drama",60 min,7.8,"8,500",1995–1996,"The Earth is embroiled in a desperate war against alien invaders, and this series focuses on one squadron of Marine pilots involved in it.","Morgan Weisser, Kristen Cloke, Rodney Rowland, Joel de la Fuente",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Recess,"Animation, Adventure, Comedy",23 min,7.8,"27,320",1997–2001,"Comic tales of a group of good friends, four boys and two girls, during breaks in primary school, as they grow up, relate to each other, and have brushes with authority.","Andrew Lawrence, Ashley Johnson, Jason Davis, Rickey D'Shon Collins",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dragons: Race to the Edge,"Animation, Action, Adventure",22 min,8.2,"7,648",2015–2018,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure.","Jay Baruchel, America Ferrera, Zack Pearlman, Christopher Mintz-Plasse",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Skull Island,"Animation, Action, Adventure",20 min,6.6,"1,958",2023–,"A group of shipwrecked characters attempt to escape from an island inhabited by horrifying monsters, including the giant primate who rules the island: Kong.","Nicolas Cantu, Mae Whitman, Darren Barnet, Benjamin Bratt",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Merlin,"Action, Adventure, Drama",182 min,7.1,"22,121",1998,Legendary wizard Merlin tells his story of his war against Queen Mab of the Sidhe and his creation of Camelot.,"Sam Neill, Helena Bonham Carter, John Gielgud, Rutger Hauer",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rurôni Kenshin - Meiji kenkaku romantan,"Animation, Action, Adventure",24 min,8.5,"20,155",1996–1998,The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.,"Mayo Suzukaze, Dorothy Elias-Fahn, Richard Cansino, Rebecca Forstadt",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Scooby-Doo and Guess Who?,"Animation, Adventure, Comedy",22 min,7.4,"1,967",2019–2021,"Scooby-Doo and the Mystery Inc. gang solve more mysteries together, each time with a different living, late or fictional celebrity guest.","Frank Welker, Grey Griffin, Matthew Lillard, Kate Micucci",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Inhumans,"Action, Adventure, Sci-Fi",43 min,4.9,"28,221",2017,An isolated community of superhumans fight to protect themselves.,"Anson Mount, Serinda Swan, Ken Leung, Eme Ikwuakor",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Inuyasha,"Animation, Action, Adventure",24 min,7.9,"17,361",2000–,A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.,"Kappei Yamaguchi, Richard Ian Cox, Sarah Hauser, Darren Pleavin",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Manimal,"Adventure, Crime, Fantasy",60 min,6.5,"2,125",1983,"A suave and elegant university professor, who can shape-shift into any animal, fights crime along with a female New York detective and his right-hand man.","Simon MacCorkindale, Melody Anderson, Reni Santoni, Michael D. Roberts",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Reaper,"Adventure, Comedy, Drama",45 min,7.8,"24,809",2007–2009,"On his 21st birthday, Sam discovers his parents sold his soul to the devil before birth and he must now be a bounty hunter for the devil until he dies.","Bret Harrison, Tyler Labine, Rick Gonzalez, Missy Peregrym",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Eerie, Indiana","Adventure, Comedy, Drama",30 min,8.2,"6,086",1991–1992,"Teenage weirdness investigator Marshall Teller adventures through his new small-town home with his friends, geeky Simon Holmes and mysterious Dash X.","Omri Katz, Justin Shenkarow, Mary-Margaret Humes, Francis Guinan",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Ren & Stimpy Show,"Animation, Adventure, Comedy",30 min,7.5,"24,125",1991–1996,"Ren, a psychotic Chihuahua, and Stimpson J. Cat, a dimwitted Manx cat who goes by the nickname Stimpy, have a host of unusual adventures.","John Kricfalusi, Billy West, Harris Peet, Bob Camp",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
R.L. Stine's The Haunting Hour,"Action, Adventure, Comedy",23 min,7.9,"2,732",2010–2014,"R.L. Stine leads young viewers on a creepy tour of tales featuring life-sized dolls, werewolves, and carnival clowns that are stalking children.","Jeny Cassady, Dan Payne, Emma Grabinsky, Geoff Redknap",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Naked and Afraid XL,"Adventure, Game-Show, Horror",42 min,7.3,"1,792",2015–,A group of amateur survivalists are put to the ultimate test in the wild for 40 days with nothing but a few primitive tools. No food. No clothing. No water. They must hunt and gather whatever they need until extraction day.,"Michael Brown, Jeff Zausch, Matt Wright, Steven Lee Hall Jr.",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Grim & Evil,"Animation, Adventure, Comedy",30 min,7.7,"25,575",2001–2007,The ill-tempered Grim Reaper gets into a wager that forces him to become the life-long companions of two scheming youngsters after he loses.,"Greg Eagles, Richard Steven Horvitz, Grey Griffin, Vanessa Marshall",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Wu Shan Wu Xing,"Animation, Action, Adventure",28 min,8.3,903,2020–2023,"A legend tells that monsters could give the ability to certain elected officials to master the five elements. But for that, you have to go through the dangerous foggy mountains. Follows the adventures of one of these elected officials.",Tu-Te-Ha-Meng,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Batman: Caped Crusader,"Animation, Action, Adventure",,9.2,37,2023–,Reimagining of the Batman mythology.,Kevin Conroy,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek Continues,"Action, Adventure, Sci-Fi",45 min,8.1,"3,238",2013–2017,The further adventures of the crew of the USS Enterprise.,"Vic Mignogna, Todd Haberkorn, Christopher Doohan, Grant Imahara",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Sahmaran,"Adventure, Drama, Fantasy",60 min,5.2,"6,370",2023–,"When Sahsu goes to Adana for a lecture, it's the perfect chance to face her estranged grandfather. But soon, she finds herself in the midst of a legend.","Serenay Sarikaya, Burak Deniz, Mustafa Ugurlu, Mahir Günsiray",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kung Fu,"Action, Adventure, Drama",,5.7,"4,951",2021–2023,"A quarter-life crisis causes a young Chinese-American woman, Nicky Shen, to drop out of college and go on a life-changing journey to an isolated monastery in China. But when she returns to find her hometown overrun with crime and corruption, Nicky uses her martial arts skills and Shaolin values to protect her community and bring criminals to justice -- all while searching for the assassin who ...                See full summary »","Olivia Liang, Kheng Hua Tan, Eddie Liu, Shannon Dang",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lion Guard,"Animation, Action, Adventure",30 min,6.4,"2,499",2015–2022,"Kion, the son of Simba, leads his friends known as the Lion Guard to protect the Pride Lands.","Max Charles, Joshua Rush, Diamond White, Atticus Shaffer",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Chen qing ling,"Action, Adventure, Drama",50 min,8.8,"8,684",2019,"Two talented disciples from respected clans meet during their youth and form a close affinity, only to be separated by dire circumstances. Sixteen years later, can they unravel the tragedy of the past to solve the mysteries of the present?","Zhan Xiao, Sanmu Liu, Yibo Wang, Zhuocheng Wang",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
X-MEN: Children of the Atom,"Action, Adventure, Drama",,,No votes yet,2023–,"Long time actor turned writer/director, Evan Feldman, is leading the charge on a brand new fan made web series titled; ""X-Men: Children of the Atom"". This web series is the next mutation in X-Men Fandom.","Jordan Tofalo, Tyler Gallant, Charlotte Frøyland, Donnie Francis",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Dexter's Laboratory,"Animation, Short, Adventure",23 min,7.9,"52,207",1996–2003,The misadventures of a boy genius and his annoying sister.,"Kath Soucie, Jeff Bennett, Christine Cavanaugh, Tom Kenny",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Tomb Raider: The Legend of Lara Croft,"Animation, Action, Adventure",,,No votes yet,2024–,Follows heroine Lara Croft as she explores new territory.,"Hayley Atwell, Allen Maldonado, Earl Baylon",,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
